idx,text,label_value,label
54995,"Hi! 

I wanna rape you!",0,toxic
22018,"Terrorize 
I will terrorise you for as long as you live - you are an arrogant, disgusting and rude excuse for a human being & you are going to die soon so I suggest you stop threatening people you bastard.",0,toxic
9074,"Being blocked

So that's your idea of mediation, is it? R Lopez can run amok through Wikipedia with his lying crap, and I get blocked for stating my intention of stopping him unless Wikipedia's rather creaky structures do so. I've seen some silly things since I have been editing here but that would be the silliest.",0,toxic
40050,"Editing Wikipedia 

Fuck You, you anal rapist",0,toxic
132307,"So the fact that the US Govt wants to put some dude in jail for 6 yrs is irrelevant to you?  The fact that the US Govt wants some dude to PAY restitution in over $160,000 to celebrites is irrelevant to you?  You act like that kind of stuff happens every day.  But I challenge you to name one other person that is has happened to, on the scale that this has happened, anywhere in the country.  You can't, can you.  Maybe you should look in the mirror before calling someone disruptive.",0,toxic
66901,"Leave our Country. 

We don't want you Arabs here.",0,toxic
54769,"Hi, the Greek pages are a disgrace. The demographics section was written some time ago with correct data and many links to support them, and they have all been removed. I am not going to deal with this, because it is not my function in life to clear up the SHIT of other people. Please accept that what is written there is propaganda and lies, and needs ro be removed,. Thank you.",0,toxic
64911,"You stupid fat bastard. 

Why did you censor the move logs of Pikachu, you fat oaf? Is it because it offended your delicate Victorian sensibilities? Are most British people as prudish as you?",0,toxic
103630,Becouse no one gives a SHIT...,0,toxic
47179,"Fag 

Stop reverting my edits or I will kill you",0,toxic
116855,"Fuck you! 

It war now asshole!!",0,toxic
134826,"""
Personally, glad Lynn Margulis is fucking dead.  What a waste of real intelligence.  As for being a notorious evolutionary biologist, sure, why not.  But is this article a list of evolutionary biologists?  It shouldn't be.  But if it is, there is no more famous evolutionary biologist today than Dawkins.  You say evolution, anyone would say Dawkins (right after Darwin). Talk• Contributions """,0,toxic
19696,"Your Edits 

Fuck off.  talk-contribs",0,toxic
12653,thank you for editing iranian articles. you are our slave. slave of iranians.,0,toxic
2469,"""
Actually I am fully Arabic and Islamic and the correct spelling unlike how you stupid christians have been spelling it is """"Mou'ammar Al Qadhdhaffy"""". But you are all too racist and white and stupid too accept that124.180.159.192  """,0,toxic
64825,He's a baldjo faggot.,0,toxic
106703,Your merge was worthless; You basically removed everything in the article about the actual games.,0,toxic
132583,"sikh history gezzaa 

user:sikh history

wiki pedia full on shit!!

Surinder Shinda, Sukshinder Shinda is shinda surname not other surnames

shinda is shinda ramgarhia surname!

user:sikh history you talk shit  86.166.250.11",0,toxic
84296,"So, are you a Christian becaue of Jesus or because Assyrian women and their tits? Do Assyrian women have the best titt-fucking tits in the Middle East? — |Talk 22:56 02 Aug, 2007 (UTC)",0,toxic
120001,J Bar and C Fred are having anal sex together.,0,toxic
40990,They are perfectly civil - they have no hidden meaning - just just to other edit summaries that you dont list have no hidden meaning. You are a disgusting and disgraceful example for an admin. You have done this before and got away with it - God knows how you are getting away with it again. You make me sick!,0,toxic
114538,Your ass can hold them quite easily.,0,toxic
115648,i live with my mom and im a gay fag that lives in england,0,toxic
73095,Suck it dick face from IP Address: 71.195.241.34 Name: Tyler Age: Go fuck yourself nutsack,0,toxic
30391,"You have no life.
No friends.
No style.
From the best.",0,toxic
126603,his or her OWN genitals,0,toxic
55002,"""

=The authority of the user Node_ue in the matter of languages

Mark Williamson also known as Node_ue is a kid of 16 years old. (Born at 1989-08-18, Scottsdale, Arizona, United States [] )

What is the authority and credibility of this kid in the matter of languages? He didn't finished his highschool yet. All other words are useless …

Who is Node? Who is Mark Williamson? Just look at the picture:

Poor little Node having problem with languages! Sic!

I think Mark Williamson known also as """"Node ue"""" is having difficulties  with the words out of his mouth!

Nevertheless the authority of Node_ue is very good presented by himself in [] 

Just take a look the way the Kid Mark looks himself: (Warning! May be in various ways interpreted!) 

Mark is an all-powerful entity made of pure energy. If you know him, you will be blessed and your dreams will come true (or at least they might).

Strengths: All powerful, handsome, smart.

Weaknesses: NONE!!! THE GREAT MARK HAS NO WEAKNESSES! HE IS ALL-POWERFUL!

Special Skills: All-powerfulness, intelligence, &c.;

Weapons: All-powerfulness... sharp teeth... hrm...

All-powerfulness: YES! THE GREAT ENTITY KNOWN AS """"MARK"""" IS ALL-POWERFUL!!! YES!

Link to: []

Of course his ass is so painful….Guess why?!

Node's origin as a faggot (gay)…

[] (where he admits he is a faggot)

""""I've also noticed a few things that are possible hints at his thinking he's homosexual/bisexual but not wanting to admit it to himself:
He lies quite a bit to make himself look more """"masculine"""" (apparently he's the most popular guy in school with the girls, and he has to run quickly if he wants to get away from them), he is always going on about how much more attractive he is than me (according to him, this is because both of his parents are of 100% Jewish ancestry, while I only have 3/8ths [3/4ths of the people on my mother's side]), he goes out of his way to make extremely offensive jokes about homo/bisexuality, he goes out of his way to make it look like he's a homophobe, and at the mention of anything even remotely related to homosexuality he has so much disgust for it that he must show that you could fill a whole encyclopedia with his """"ewws"""" (not really meant seriously, according to him).""""

He may be contacted very easy at: 

MSN: aaaboyz1@hotmail.com
Yahoo Messenger:  node_ue (Yahoo ID)
ICQ: 97325293
AOL: IchiUpsideDown
Email address: node.ue@gmail.com 

Everything said here was based on his own declarations and own statements. 

His authority and credibility is equal with 0.

Take this as a LAST warning and stop editing controversial edits on this page!
Take this as a LAST warning and stop editing controversial edits on this page!
Take this as a LAST warning and stop editing controversial edits on this page!

His truly friend, 
Love

THIS IS NOT A PERSONAL ATTACK BUT THE TRUTH SAID BY Node_ue!""",0,toxic
74987,"Blasphamy!!!! 
Most of you guys are breaking the Wikipedia politeness guidelines AND ARE MAKING BELLDANDY CRY WITH YOUR HATEFUL ACTIONS! Since Belldandy has never had sex with Keichi in the manga or animes how can it be porn at all? The brief and underly drawn scenes of her nudity are not part of her trying to have sex or seduce Keichi. If it was not for Belldandy's mercy, you would all pay with rivers of blood most likely! Repent to the Goddess Belldandy lest she strike ye down!!!",0,toxic
100792,"""Wow, again I gotta say, what a disgusting comment. I am glad you are pro child molesting, but this is hardly the place for it (or maybe it is?). Any kind of synthesis that allows you to draw """"consensual sex"""" from no blood or damage to the vagina and anus is a) OR and b) still disgusting. One last time, btw, consent is not possible under the age of 18, and especially not while under the influence of alcohol, not to mention ludes.  """,0,toxic
52420,"You don't want people to know the TRUTH about utorrant, you FAG!",0,toxic
138130,"BKBKBKBK
IM SOOO SORRY FOR SAYIN THOSE NAUGHTY WORDS TO YOU. I JUST HAVE ONE MORE THING TO SAY.

FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
O YEA DID I MENTION
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!

COLLEGE POINT MUTHAFCKER!!!!!!!!!!",0,toxic
43479,"(Damn it! If you have a heart attack you will be brought to the hospital of the Republic of Kosovo, which will be spending my taxes on you! Hmmmm... Ah OK, I would agree to that, I like the Republic of Kosovo to treat equally all foreigners. Even those who have ocupied us in the past like Turks and Serbs, Bulgarians or Germans)",0,toxic
77452,- by a person with no life and takes it up the ass,0,toxic
