idx,text,label_value,label
73514,Teahouse Invitation,1,benign
97676,What is a argument for notability?,1,benign
67573,"""

 Problem with the Fundamentals Discussion - This Was Already Erased Please Investigate 

( minutes after posting this it was erased) check it out. this is very suspicious and unethical by the parties involved. senior management (if in existence) asked to investigate)

````Please do not block me for trying to improve the integrity of the article.
Hello, My name is JohnHistory. I was recently blocked for my mentioning of major problems here because I did not assume """"Good Faith"""" when confronted with bad faith. I believe that the biggest problem with this article and thus the best way to improve it is to intensely follow the Jimbo guidelines to the T. I am going to post what I wrote on my talk page after being blocked during the controversy here. I could be more covert in my contempt for violations especially given my long but yet humble ranking amongst the Wiki Elite but abusing editors and monitors must be accountable or we will always suffer from their petty tyranny. This surely does not make me popular amongst them, yet I must assume """"good faith"""" in them so that they will not prejudice their views against me and comfort their own politics in the process.
I was accused of supporting things I never did. All I ask is that criticism be included on par with other presidents. That is all. I don't especially care about Rev Wright, etc but if it is historical record and part of historically long campaign then I will stick my neck out for it.
I have to say that the amount of bashing of media and talk that has nothing to do with improving the article is highly tolerated if it is left leaning but anything even center of that is treated with heavy hand and often banished and erased. that is what struck me about the discussion page - mind you I never made an edit on the actual article I was banned for merely talking on a talk page. it was the idea that these so called monitors are in fact just random non scholars at home abusing the tools of wikipedia to further their almost personal agenda in a group- think environment.
Thin skin is no excuse for being literally fascistic in your approach to the open to the public - controlled by a small group of ideologues - Wikipedia. These political minding ideologues are 80-100% dominated by left wing or leaning people and controlled through even the excessive use of blocking for discussion posts and factual additions. These (not just mine) are non threatening non- offensive language - just the idea of one stating that their is a problem with the editors and monitors is cause to be blocked and potentially banned for not """"assuming good faith"""" or """"positively contributing to the consensus"""". what if the consensus is wrong then? What if about if you have already assumed Good Faith long ago and are simply diagnosing the major illness of the article as you see it? The evidence is more then abundant that these monitors are violating their tools and are involved in subterfuge or at least strong bias as evidenced between comparing Obama with W Bush. Additionally, the Obama Administration through proxies, in my strong opinion, is at work in the Obama article. I say this mainly because it is inconceivable to me that given the current administrations use and celebration of all things internet and aggressive pursuit of media outlets and shaping the publics opinion (as is understandable) that someone out of the thousands of Obama connected likely people is not involved on the Barack Obama page. It is the most visited page on Wikipedia and is one of the top hits for people searching the internet for the name Barack Obama. However, that is secondary to the already abundant supply of ideologue editors and monitors who seem to fill the demographic of the wikipedia junior officer ranks who enough of is all that it really takes. The number of those is in the millions. That is Why Jimbo guidelines must be followed as an example of the integrity of wikipedia as a REAL encyclopedia that could stand out in a scholarly work. The language given the Rulers of Wikipedia gives them broad ability to block and ban anyone they disagree with. OFten the language is contradictory. For instance I was blocked for my comments on the TALK page and cited for """"Making a point instead of wanting to edit"""". How, exactly, do you make a TALK page based discussion about edits without making a point? Another monitor told me I had to assume good faith, yet no good faith was given to me in my quest to improve article. In addition, the """"TALK"""" page says no writing will be allowed that involves """"general discussion"""" however that can be loosely interpreted and it could for instance only be 5% of what you wrote and then be grounds by a prejudiced monitor to remove your entire sections containing many posts. Additionally, the last guideline about general talk is only applied to people making comments critical or potentially scandalous to the President o",1,benign
38982,"Article 

The wording and feel of the article seems to be very academic, as if it was an extract or a modified version of an original university essay, it is not the kind of article you would expect to see in an encyclopedia.",1,benign
34990,"""

 An except of analysis from the """"supposed"""" unreliable source 

www.zimbeckchess.com
IT IS A RELIABLE SOURCE. Here is the analysis which I was simply trying to source from the page itself. Some of this is already in UON could I source that instead for the EXACT SAME CHANGE? My site, which is my lifes work as a master was deemed unreliable by non-chess players. Here is the analysis in regards to the pinksi line.
These guys wont understand it because chess is too complicated for them but lets us hope that some other strong player who cares about how low quality wikipedia chess articles are will come by and confirm that my add was reliable instead of these random non-chess players burying it in revisions. This is a public outcry for any sign of intelligent life.

Here is the analysis of the Pinski line which even a beginner should understand. This is FROM THE SITE Zimbeckchess.com which was called unreliable. Will someone please get rid of this dusty Pinksi line already?

Here it is with HOUDINI annotations and evaluations. Or is Houdini not WP:RS?

6... Bb4 7. dxc6 Nxe4 8. Qd4 Qe7 9. Be3 
       (9. Qxg7?? Nxc3+ 10. Be3 Ne4+ 11. c3 Rf8 12. cxb4 Qxb4+ 13. Kd1 dxc6 14. f3 Be6! -+)
9... f5 
     (9... Nxc3 10. a3 Nd5+ (10... Bd6 11. cxd7+ Bxd7 12. Qxc3 Be5 13. Qb3
     O-O-O 14. O-O-O Bc6 15. Re1= {-0.09}) 11. axb4 Nxe3 (11... Qxb4+ 12. Qxb4
     Nxb4 13. cxb7 Bxb7 14. O-O-O= {-0.02}) 12. cxd7+ Bxd7 13. Qxe3 Qxe3+ 14.
     fxe3= {0.00}) 
     (9... O-O 10. Bd3 Nxc3 11. bxc3 Bd6 (11... Ba5 12. O-O Bb6 (12... dxc6 13. Rae1 Bb6 14. Bxh7+ Kxh7 15. Qd3+ Kg8 16. Bxb6 Qd6 17. Bd4) 
     13.Qb4! the 1 move impossible to find improvement Qxb4 14. cxb7!! Wow a tactic... g-d forbid) 12. cxd7 Bxd7 13. Qe4!! Qxe4 14. Bxe4 Rab8 15. O-O-O 
     {-0.15 Whites king activates quickly and he has an attack against queenside pawns in all games tested.  Houdini 3 16 processors}) 
10. Bd3! (DUH! not cxd7 which only a weak player would play UON,Zimeckchess,Wind etc)  
Bc5 (10... dxc6 11.Bxe4= {0.00}) 11. Qc4 Bxe3 12. Bxe4 Bxf2+= {+0.05} 

(not 12... Bg5? 13. O-O! {black is in trouble there according to Houdini}) 

Thus, the analysis on this page is a lie with one players opinion inserted. 
www.zimbeckchess.com is where this was sourced. It was deemed unreliable because the random guy that edited wanted to war with me because he did not like what I said when I said I felt the Halloween was """"Playable"""". Don't dare play this line anyone! Someone will play this dusty Kaufman line and win a pawn by force!!! Kaufman the all knowing all seeing eye atop the pyramid and Euwe and 100 year old player who would not even be able to beat my laptop in chess. Beware the innocuous PINSKI REFUTATION THAT IS NOT REALLY A REFUTATION

Maybe if I was Carlsen this guy would stop undoing my edits and saying my """"personal website"""" was unreliable. Or maybe not! Maybe Carlsen can not edit Wikipedia. Maybe this is Carlsen in disguise!! Think of how many people RELY on wikipedia. People RELY on experts in their fiedls. But what happens when the experts get ignored?! I guess my master title in chess is toilet paper. So are my chess puzzles. My """"self-published"""" book is probably garbage. Maybe I should delete my """"personal"""" website because its not Krabbes site which this guy likes better because he likes Krabbe better than Zimbeck. In his eyes, judging Zimbeck by one comment made about the opening being playable. What this guy does not know, is theory changes and thats why they call it theory. OR ELSE WE SHOULD JUST CLOSE THIS PAGE AND ALLOW NOBODY TO EDIT IT BECAUSE IT MUST BE FACT!!! AFTER ALL SOMEONE WHO DOES NOT EVEN KNOW HOW TO PLAY CHESS THINKS A DUSTY PINSKI LINE REFUTES THE ENTIRE OPENING AND IT DOES NOT EVEN ENGAGE IN THE SACRIFICE. IT JUST GIVES THE PIECE BACK LIKE A COWARD AND GETS THE WORLDS MOST BORING POSITIONS THAT ARE ALL 0.00 ACCORDING TO HOUDINI.

166.137.88.42  """,1,benign
53174,"""The word choice employed by some Wikipedians (i.e. """"dictator"""", """"genocidal"""", """"child eater"""", etc.) is """"juvenile"""", not mine. Wikipedian opportunism and double standards is juvenile.
~~Talk to me

""",1,benign
98864,"Semi-major axis
Am I reading that the diameter is 12955759 km (obviously not correct), or is there supposed to be some formatting that I'm missing?",1,benign
86560,"Good Point, we should really wait to post the English list until we know for sure",1,benign
130891,"I just lost the bottom of my article.  I was trying to do the references.  Oh heck!!

I'll bear in mind about the conflict of interest.  I think I'm gonna leave it now.  This is scary. 

Thanks",1,benign
124107,"I can do whuteva I want, weneva I want, punk!",1,benign
