idx,text,label_value,label
136068,"Why the US sucks 

Ya so the us sucs cuz bugh is dumb and they have to much army and people are to mean in new york and jesusland is to big and ya. So anyway, this was severs opinion",0,toxic
66381,"Hey Bwilkins, it is clear you have some kind of hard on about me, why don't you shut up and come suck my **** already and let someone who isn't bought and paid for by the AV Press handle this issue? Better yet read WP:GFY",0,toxic
71747,He doesn't consider this vandalism except when it's *his* talk page. Bullshit.,0,toxic
53519,"""

""""If you continue to misinterpret sources even once, please note that you will be immediately blocked again."""" - You know what? I tried to improve this shitty fucking article and instead of getting help, I get assholes like you threatening me. Go ahead and do it and fuck you.""",0,toxic
93861,"""

 Here's a Falafel for you you fat piece of shit. 

  HURRICANEFAN25! Y U NO LET ME VANDALIZE!? PLEASE STOP OR I WILL BE FORCE TO MUSHROOM STAMP YOU WITH A FUCKING GOAT HORN! The Game.   """,0,toxic
136208,Oh really. Well then stop making bullsht edits and taking away everything that contradicts the mainstream yellow journalism going on. There isn't neutral point of views on Wikipedia. This site is a joke. FCK YOU. Stop sending me messages on your stupid fcking system. I don't give a sht about what you have to say. As a matter of fact I don't even know who the fck im talking to or if I am even talking to someone real. Once again. FCK YOU AND THIS BULLSHT WIKIPEDIA WANNA BE ENCYCLOPEDIA. IT WILL NEVER HAPPEN. NOTHING THIS WEBSITE SAYS WILL EVER BE CONSIDERED VERIFIED!!!!!!,0,toxic
120169,"""

 your 
It is about the same as if you owned the only newspaper in the world, each commanded you what they can and can not write, and yet you said that your country is freedom of speech.
You hypocrite, who, like your country (if you're a citizen of the United States) - still say that your country's freedom, while you are on the verge of a fascist dictatorship, which reconciles own people, censors the media manipulates public opinion and all under the guise of protection """" freedom """"   """,0,toxic
106928,"""

 re: Jessica Lange 

Listen you little twat, you do understand that I wrote the majority of this page?  What the hell do you think you're doing censoring and correcting work you didn't put an ounce of effort into?  I'll leave your """"modification"""" for now, but you're seriously getting on my fucking nerves.  Go police a page that, you know, you've actually worked on.  Asshole.   """,0,toxic
151362,fuck u u stupid fagget block me i dare u,0,toxic
134409,her is some info on the day that gose on in boulder creek school. first this school sucks the teachers,0,toxic
4817,"is bale turned around and told you he felt more welsh than english and classified himself as welsh, what would your anti-welsh stance be then numbnuts?  i hope you are hunted down by a welsh hate mob and castrated and forced to eat your small testicles",0,toxic
83844,"Vandalism of my user page 

Please do not vandalize my user page. I am also a BC resident and I am sick of all you damn potheads. If I was in power I'd round you all up and shoot you like to horrible animals you are. I'd make Hitler & Stalin look like cartoon characters!

Fuck you, you worthless peice of shit.",0,toxic
100693,"Get A Life! 

l00zer",0,toxic
154363,MONKEY MONKEY MONKEY MONKEY MONKEY MONKEY,0,toxic
8361,"Insult noted, Mr. Basalisk Administrator. You're as transparent as glass, Basalisk. And keep in mind, my whole existence on WP is for the purpose of ensuring you are pleased with me at all times. So be sure to continue to let me know whenever I screw up on that. You and your 34%.",0,toxic
45101,"WHO CARES ABOUT A BUNCH OF DIRTY MONKEYS FROM HAITI. MONCRIEF, WHAT ARE YOU A JEW?.",0,toxic
149635,Alansohn tucks his sack back every now and then and tells his gay roommate to call him Sandra.,0,toxic
147001,I am still a stupid wanker,0,toxic
77918,Fucking hell!!! I fucking wanna show these damn people & I'll kill those dufuses like Lil crazy dufus.User:Pic Business,0,toxic
137368,"Not Funny 

Your jokes suck.You are giving a bad name for Youtube.Just stop with the videos(Please.)",0,toxic
40330,"Please stop being better than my bloody ass. 33:49, 31 February 2006 (STS)

Unban, NOW!

Unban me, NOW!!",0,toxic
4288,Are you a faggot or what?,0,toxic
