idx,text,label_value,label
66730,"with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie ",0,negative
29890,enigma is well-made ,1,positive
45801,is ) so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits . ,0,negative
29352,the closest thing to the experience of space travel ,1,positive
19858,lose their luster ,0,negative
15364,reopens an interesting controversy and ,1,positive
30026,"competent , unpretentious entertainment ",1,positive
38039,an effective portrait of a life in stasis ,1,positive
14261,transcendent performance ,1,positive
11661,so vivid ,1,positive
12510,' rip-off ,0,negative
64007,its hackneyed and meanspirited storyline with cardboard characters and performers ,0,negative
7881,a rollicking good time for the most part ,1,positive
7161,not funny performers ,0,negative
49368,"who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny ",0,negative
56945,entering ,1,positive
7167,and revolutionary spirit ,1,positive
21463,of deft and subtle poetry ,1,positive
28495,a buoyant delivery ,1,positive
28162,"is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham ",1,positive
64759,brainless ,0,negative
2992,a good chance of being the big ,1,positive
61181,"there 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one . ",1,positive
44019,like jimmy 's routines ,1,positive
32968,is less concerned with cultural and political issues than doting on its eccentric characters . ,0,negative
58723,all too predictable and far too cliched ,0,negative
37478,hip-hop rarely comes alive as its own fire-breathing entity in this picture . ,0,negative
25098,"such a flat , plodding picture ",0,negative
36517,"awe and affection -- and a strange urge to get on a board and , uh , shred , dude ",1,positive
32755,"is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is . ",1,positive
7705,that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ,1,positive
1162,masterful british actor ian holm ,1,positive
4108,it shows us a slice of life that 's very different from our own and yet instantly recognizable . ,1,positive
9246,action-adventure buffs ,1,positive
32477,all the sibling rivalry and ,0,negative
33226,"treads heavily into romeo and juliet/west side story territory , where it plainly has no business going ",0,negative
26523,"about a wild-and-woolly , wall-to-wall good time ",1,positive
23335,"so many red herrings , ",0,negative
47385,expects something special but instead gets ( sci-fi ) rehash . ,0,negative
21640,gave people seizures ,0,negative
47865,"has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes ",1,positive
16072,wonderful ,1,positive
24957,"of dark humor , gorgeous exterior photography , and a stable-full of solid performances ",1,positive
20867,"and there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after greene 's story ends . ",1,positive
47782,jaw-droppingly superficial ,0,negative
33449,venice beach that was a deserved co-winner of the audience award for documentaries at the sundance film festival ,1,positive
40690,straight-ahead ,1,positive
39518,'s really an exercise in gross romanticization of the delusional personality type ,0,negative
56131,"'s a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0,negative
30385,scores a direct hit ,1,positive
61889,an often intense character study ,1,positive
57069,"enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor ",1,positive
57181,"as a good old-fashioned adventure for kids , spirit ",1,positive
22596,"godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks . ",0,negative
29642,no cliche escapes the perfervid treatment of gang warfare called ces wild . ,0,negative
57452,"the acting , for the most part ",1,positive
15710,the logic of it all will be greek to anyone not predisposed to the movie 's rude and crude humor . ,0,negative
37068,"but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . ",1,positive
19966,mr. schnitzler proves himself a deft pace master and stylist . ,1,positive
47496,this family film sequel is plenty of fun for all . ,1,positive
9024,is just the point ,1,positive
58642,indie . ,1,positive
31397,"to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's ",0,negative
25296,to remake sleepless in seattle again and again ,0,negative
62309,ranks with the best of herzog 's works ,1,positive
12639,unbelievable naïveté and arbitrary flashbacks ,0,negative
38693,"with an idea buried somewhere inside its fabric , but never clearly seen or felt ",0,negative
31316,"so muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style . ",0,negative
51892,disconcertingly slack ,0,negative
27980,mindless action movie ,0,negative
29771,delicate treatment ,1,positive
43093,called best bad film you thought was going to be really awful but ,0,negative
62707,"gets very ugly , very fast ",0,negative
52764,begin with ,1,positive
42820,hate yourself ,0,negative
2295,"this is a gorgeous film - vivid with color , music and life . ",1,positive
14366,by characters who are nearly impossible to care about ,0,negative
39843,interesting look ,1,positive
37647,"beyond road warrior , it owes enormous debts to aliens and every previous dragon drama ",1,positive
18233,lopez romantic comedy ,1,positive
63954,as some of the recent hollywood trip tripe ,0,negative
24200,"will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : a few early laughs scattered around a plot as thin as it is repetitious ",0,negative
5343,"it 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... grant and bullock make it look as though they are having so much fun . ",1,positive
11680,is eerily convincing as this bland blank of a man with unimaginable demons within ,1,positive
26231,doing unpleasant things to each other and themselves ,0,negative
30626,could n't someone take rob schneider and have him switch bodies with a funny person ,0,negative
29676,the story is smart and entirely charming in intent and execution . ,1,positive
6498,enhanced by a surplus of vintage archive footage ,1,positive
34793,completely serviceable and quickly forgettable ,0,negative
5532,dreamy and ,1,positive
3308,"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive ",0,negative
39889,"like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame . ",1,positive
43924,this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times . ,1,positive
273,does n't bode well for the rest of it ,0,negative
19247,much of all about lily chou-chou is mesmerizing : ,1,positive
14552,comforting fantasies ,1,positive
57106,"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious ",0,negative
31199,"sexy , violent , self-indulgent and maddening ",0,negative
25986,severe body odor ,0,negative
20848,"in spite of all that he 's witnessed , remains surprisingly idealistic ",1,positive
64187,your favorite pet get buried alive ,0,negative
55773,only has about 25 minutes of decent material . ,0,negative
29766,that 's apparently just what ( aniston ) has always needed to grow into a movie career ,1,positive
936,"is always a joy to watch , even when her material is not first-rate ",1,positive
35002,visual delight ,1,positive
8425,a terrific b movie -- ,1,positive
45750,"is a pan-american movie , with moments of genuine insight into the urban heart ",1,positive
37114,a funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout . ,1,positive
17436,stunning images and effects ,1,positive
59021,"appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché . ",0,negative
41931,its hard to imagine having more fun watching a documentary ... ,1,positive
19193,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be . ,1,positive
59786,well-timed explosion ,1,positive
25928,the effort is sincere and the results are honest ,1,positive
54257,effective in all its aspects ,1,positive
52922,", and for the memorable character creations ",1,positive
56656,"'s weird , wonderful , and not necessarily for kids ",1,positive
22599,moulin rouge ,1,positive
33951,illustrates the ability of the human spirit to overcome adversity . ,1,positive
18905,as boring before i see this piece of crap again ,0,negative
50689,you 'd swear you ,1,positive
51470,walks a tricky tightrope between being wickedly funny and just plain wicked ,0,negative
62041,an old-fashioned but emotionally stirring adventure tale ,1,positive
18379,probably wo n't have you swinging from the trees hooting it 's praises ,0,negative
39488,a fascinating glimpse of urban life and the class warfare that embroils two young men ,1,positive
19762,"is a dark , gritty , sometimes funny little gem ",1,positive
40526,to courage and happiness ,1,positive
40063,a ton of laughs ,1,positive
52064,rich in shadowy metaphor ,1,positive
21449,"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games ",1,positive
58826,a whole lot ,1,positive
39151,"enactments , however fascinating they may be as history , are too crude to serve the work especially well ",0,negative
64192,the ring never lets you off the hook . ,1,positive
13087,emotional conviction ,1,positive
6211,bubbly ,1,positive
62714,an erotic thriller that ,1,positive
62165,ca n't help but get caught up in the thrill of the company 's astonishing growth . ,1,positive
7168,dramatically lackluster ,0,negative
58320,"they come , already having been recycled more times than i 'd care to count ",0,negative
31732,rarely has sex on screen been so aggressively anti-erotic . ,0,negative
62557,"the color sense of stuart little 2 is its most immediate and most obvious pleasure , ",1,positive
54977,a couple of saps stuck in an inarticulate screenplay ,0,negative
34005,", self-assured ",1,positive
31713,"( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto , ",1,positive
34479,"odd , inexplicable and unpleasant ",0,negative
41453,the ease with which it integrates thoughtfulness and pasta-fagioli comedy ,1,positive
19990,speaks for itself ,1,positive
